Year,Period,unemployment rate
2009,Jan,8.7
2009,Feb,9.6
2009,Mar,9.8
2009,Apr,9.7
2009,May,10.1
2009,Jun,10.8
2009,Jul,10.8
2009,Aug,10.6
2009,Sep,10.4
2009,Oct,10.6
2009,Nov,10.4
2009,Dec,11
2010,Jan,12.2
2010,Feb,11.9
2010,Mar,11.6
2010,Apr,10.8
2010,May,10.3
2010,Jun,10.7
2010,Jul,10.8
2010,Aug,10.3
2010,Sep,9.6
2010,Oct,9.5
2010,Nov,9.6
2010,Dec,9.4
2011,Jan,10.3
2011,Feb,10.1
2011,Mar,9.8
2011,Apr,9.4
2011,May,9.7
2011,Jun,10.6
2011,Jul,10.6
2011,Aug,10.5
2011,Sep,9.9
2011,Oct,9.7
2011,Nov,9.1
2011,Dec,9.3
2012,Jan,9.8
2012,Feb,9.7
2012,Mar,9.2
2012,Apr,8.6
2012,May,8.8
2012,Jun,9.6
2012,Jul,9.7
2012,Aug,9.3
2012,Sep,8.4
2012,Oct,8.7
2012,Nov,8.4
2012,Dec,9.1
2013,Jan,10.2
2013,Feb,9.9
2013,Mar,9.3
2013,Apr,8.8
2013,May,8.9
2013,Jun,9.7
2013,Jul,9.3
2013,Aug,9.1
2013,Sep,8.5
2013,Oct,8.7
2013,Nov,8.2
2013,Dec,8.1
2014,Jan,8.7
2014,Feb,8.8
2014,Mar,8.2
2014,Apr,7
2014,May,7
2014,Jun,7.2
2014,Jul,7.3
2014,Aug,7
2014,Sep,6.3
2014,Oct,6.2
2014,Nov,6.1
2014,Dec,5.9
2015,Jan,6.8
2015,Feb,6.5
2015,Mar,6
2015,Apr,5.6
2015,May,5.8
2015,Jun,6.2
2015,Jul,6.1
2015,Aug,5.8
2015,Sep,5.3
2015,Oct,5.5
2015,Nov,5.6
2015,Dec,5.8
2016,Jan,6.5
2016,Feb,6.4
2016,Mar,6.2
2016,Apr,5.8
2016,May,5.3
2016,Jun,6
2016,Jul,5.7
2016,Aug,5.7
2016,Sep,5.5
2016,Oct,5.4
2016,Nov,5
2016,Dec,5.1
2017,Jan,5.8
2017,Feb,5.4
2017,Mar,4.7
2017,Apr,4.4
2017,May,4.3
2017,Jun,5.1
2017,Jul,5
2017,Aug,5.3
2017,Sep,4.6
2017,Oct,4.5
2017,Nov,4.4
2017,Dec,4.4
2018,Jan,4.9
2018,Feb,4.8
2018,Mar,4.1
2018,Apr,3.7
2018,May,3.4
2018,Jun,4.5
2018,Jul,4.2
2018,Aug,4
2018,Sep,3.6
2018,Oct,3.7
2018,Nov,3.5
2018,Dec,3.9
2019,Jan,4.8
2019,Feb,4.3
2019,Mar,4.1
2019,Apr,3.7
2019,May,3.5
